ID,Name,Email,year,major,date,time,on_campus,main_reason_for_taking_isb,trips_per_day,duration_per_day,has_exam,start,end,bus_num,weather,num_people_at_bus_stop,waiting_time,waiting_time_satisfaction,crowdedness,crowdedness_satisfaction,comfort,safety,overall_satisfaction
0,Jennifer Walker,jenniferwalker@example.org,Year 1,data science and analytics,16/9/2024,1/1/1900 8:50,No,To go to class,2,5,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A1,Sunny,20,6,7,9,7,7,9,8
1,Jamie Barron,jamiebarron@example.net,Year 3,data science and analytics,16/9/2024,1/1/1900 9:30,No,To go to class,3,30,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT13 / Ventus,A2,Sunny,10,5,7,8,4,4,8,6
2,Mary Greene,marygreene@example.org,Year 3,data science and analytics,17/9/2024,1/1/1900 16:00,No,To go to MRT,4,30,No,LT13 / Ventus,Kent Ridge MRT / Opp Kent Ridge MRT,A1,Sunny,20,10,4,9,3,4,6,5
3,Brianna Turner,briannaturner@example.org,Year 3,data science and analytics,19/9/2024,1/1/1900 14:00,No,To go to MRT,2,25,No,COM3,LT27 / S17,D2,Sunny,15,5,6,6,6,7,8,7
4,Mary Perez,maryperez@example.org,Year 4,data science and analytics,19/9/2024,1/1/1900 18:53,No,To go to class,2,5,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A1,Sunny,13,3,8,8,6,7,10,8
5,Jennifer Smith,jennifersmith@example.net,Year 4,environmental studies,19/9/2024,1/1/1900 15:30,Yes,To go to class,4,30,No,UTown,LT27 / S17,D2,Sunny,50,15,4,8,5,3,7,5
6,Mrs. April Foster,mrs.aprilfoster@example.net,Year 3,computer science,19/9/2024,1/1/1900 13:45,No,To go to class,1,10,No,Kent Ridge MRT / Opp Kent Ridge MRT,BIZ2 / Opp HSSML,A2,Sunny,7,5,8,10,5,4,7,5
7,Erika Mercer,erikamercer@example.com,Year 1,data science and analytics,20/9/2024,1/1/1900 7:50,No,To go to class,2,7,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,Sunny,30,6,4,9,4,3,6,6
8,Jennifer Wood,jenniferwood@example.net,Year 2,life sciences,20/9/2024,1/1/1900 11:40,Yes,To go to class,4,40,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A2,Sunny,20,5,10,7,7,5,6,5
9,Bradley Matthews,bradleymatthews@example.net,Year 3,business,20/9/2024,1/1/1900 11:30,No,To go to MRT,2,30,No,Kent Ridge MRT / Opp Kent Ridge MRT,BIZ2 / Opp HSSML,A2,Sunny,15,5,7,8,4,5,5,6
